,ID,E_Brent,D_caso,D_tal,C_Gas,C_Perfo,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,LE_year_b,lc_b,dc_b,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
0,0,40,Medio,1,6,650000,-11468.808,53650.9875,42182.1794,1.056411362267093,129800,850236.7315,904996.7461,0.2627027120490787,22.104040284827263,21.841337572778187,2036.0,8.4419,5.2784,112108.8074,85037.8609,36184.122,289941.0393,14428.0695
1,1,45,Medio,1,6,650000,-10216.422,92398.3376,82181.9156,1.7089390532758895,129800,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,5.1907,114366.0844,85037.8609,52926.4216,347628.7093,13116.4268
2,2,50,Medio,1,6,650000,-8964.0359,130280.1716,121316.1357,2.346192860879203,129800,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,5.1907,114366.0844,85037.8609,69235.3769,403071.8847,13116.4268
3,3,55,Medio,1,6,650000,-7711.6499,168089.5436,160377.8937,2.983446668482515,129800,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,5.1907,114366.0844,85037.8609,85616.7942,458515.06,13116.4268
4,4,60,Medio,1,6,650000,-6459.2639,205862.1436,199402.8797,3.6207004760858283,129800,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,5.1907,114366.0844,85037.8609,102034.9835,513958.2353,13116.4268
5,5,65,Medio,1,6,650000,-5206.8778,243624.4906,238417.6128,4.257954283689141,129800,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,5.1907,114366.0844,85037.8609,118463.4258,569401.4107,13116.4268
6,6,70,Medio,1,6,650000,-3954.4918,281874.7543,277920.2625,4.9103297540192035,129800,850236.7315,904996.7461,0.2627027120490787,22.644197797419718,22.381495085370638,2038.0,8.9869,5.1515,116224.9253,85037.8609,135689.8674,626796.9405,11924.0244
7,7,40,Medio,1,6,700000,-11468.808,48730.8321,37262.0241,0.9165016990909781,139400,850236.7315,904996.7461,0.2627027120490787,22.104040284827263,21.841337572778187,2036.0,8.4419,5.6688,112108.8074,91245.8563,34896.2819,289941.0393,14428.0695
8,8,45,Medio,1,6,700000,-10216.422,87475.9571,77259.5351,1.5246341080514367,139400,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,5.5746,114366.0844,91245.8563,51640.8067,347628.7093,13116.4268
9,9,50,Medio,1,6,700000,-8964.0359,125357.7912,116393.7552,2.118531805385792,139400,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,5.5746,114366.0844,91245.8563,67949.7619,403071.8847,13116.4268
10,10,55,Medio,1,6,700000,-7711.6499,163168.2334,155456.5835,2.712429502720146,139400,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,5.5746,114366.0844,91245.8563,84330.109,458515.06,13116.4268
11,11,60,Medio,1,6,700000,-6459.2639,200940.8334,194481.5695,3.306327200054501,139400,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,5.5746,114366.0844,91245.8563,100748.2983,513958.2353,13116.4268
12,12,65,Medio,1,6,700000,-5206.8778,238703.1805,233496.3026,3.900224897388856,139400,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,5.5746,114366.0844,91245.8563,117176.7405,569401.4107,13116.4268
13,13,70,Medio,1,6,700000,-3954.4918,276954.9507,273000.4589,4.508215442135231,139400,850236.7315,904996.7461,0.2627027120490787,22.644197797419718,22.381495085370638,2038.0,8.9869,5.5325,116224.9253,91245.8563,134401.6756,626796.9405,11924.0244
14,14,40,Medio,1,6,750000,-11468.808,43810.6768,32341.8688,0.7944170444111246,149000,850236.7315,904996.7461,0.2627027120490787,22.104040284827263,21.841337572778187,2036.0,8.4419,6.0592,112108.8074,97453.8517,33608.4419,289941.0393,14428.0695
