,ID,E_Brent,C_Gas,C_Perfo,VPN_Basica,VPN_incremental,VPN_Total,capex_T,capex_B,capex_I,opex_B,opex_T,opex_I,volumen_B_LE,volumen_I_LE,volumen_T_LE,LE_year_B,LE_year_T,LE_year_I,lc_B,dc_B,lc_T,dc_T,lc_I,dc_I,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
0,0,40,6,950000,34909.4877,-22838.9163,12070.5714,77369.5534,0,77369.5534,996858.466,1049324.4076,52465.9416,12.580449239419396,4.657736755088523,17.23818599450792,2030.0,2031.0,2031.0,18.1264,0,16.958,3.6979,13.4073,14.9333,239372.3725,71469.5446,19156.1031,354664.4434,12595.8518
1,1,45,6,950000,69959.6848,-13138.5843,56821.1006,77369.5534,0,77369.5534,996858.466,1049324.4076,52465.9416,13.955177034163455,4.702101025488559,18.657278059652015,2032.0,2033.0,2033.0,18.8632,0,17.6335,3.4135,13.5076,14.8616,255141.4466,71469.5446,38074.1266,431916.0132,10409.7949
2,2,50,6,950000,105985.6944,-4471.0099,101514.6845,77369.5534,0,77369.5534,996858.466,1049324.4076,52465.9416,15.055493633830446,4.154114039887161,19.20960767371761,2034.0,2034.0,2034.0,19.6715,0,18.017,3.3133,11.1163,17.1361,261532.6832,71469.5446,57028.8496,501009.2118,9463.4499
3,3,55,6,950000,142017.3327,4743.3392,146760.6718,77369.5534,0,77369.5534,996858.466,1049324.4076,52465.9416,15.525215809263823,4.171650995284624,19.69686680454845,2035.0,2035.0,2035.0,20.0966,0,18.417,3.2295,11.2234,17.0643,267195.7972,71469.5446,76270.0412,570299.1911,8603.1363
4,4,60,6,950000,178465.5129,13945.6872,192411.2,77369.5534,0,77369.5534,996858.466,1049324.4076,52465.9416,15.949446168957065,4.181301848920974,20.130748017878037,2036.0,2036.0,2036.0,20.5343,0,18.8293,3.1582,11.3436,17.023,272232.1858,71469.5446,95729.9128,639663.8763,7821.033
5,5,65,6,950000,215683.4958,22670.0906,238353.5864,77369.5534,0,77369.5534,996858.466,1049324.4076,52465.9416,16.676402742903615,3.8412691172459126,20.517671860149527,2038.0,2037.0,2037.0,21.449,0,19.2504,3.0971,8.1151,18.7836,276708.8027,71469.5446,115350.4511,708992.4148,7110.03
6,6,70,6,950000,252133.0184,32402.2922,284535.3107,77369.5534,0,77369.5534,996858.466,1049324.4076,52465.9416,16.676402742903615,4.186779583427487,20.863182326331103,2038.0,2038.0,2038.0,21.449,0,19.6725,3.0445,11.5284,17.0006,280659.5674,71469.5446,135085.6845,778213.7709,6463.6636
7,7,40,6,1000000,34909.4877,-24852.7297,10056.758,80019.5534,0,80019.5534,996858.466,1049324.4076,52465.9416,12.580449239419396,4.657736755088523,17.23818599450792,2030.0,2031.0,2031.0,18.1264,0,16.958,3.8245,13.4073,15.4448,239372.3725,73996.2205,18643.2407,354664.4434,12595.8518
8,8,45,6,1000000,69959.6848,-15141.5731,54818.1117,80019.5534,0,80019.5534,996858.466,1049324.4076,52465.9416,13.955177034163455,4.702101025488559,18.657278059652015,2032.0,2033.0,2033.0,18.8632,0,17.6335,3.5304,13.5076,15.3706,255141.4466,73996.2205,37550.4396,431916.0132,10409.7949
9,9,50,6,1000000,105985.6944,-6480.3977,99505.2967,80019.5534,0,80019.5534,996858.466,1049324.4076,52465.9416,15.055493633830446,4.154114039887161,19.20960767371761,2034.0,2034.0,2034.0,19.6715,0,18.017,3.4268,11.1163,17.723,261532.6832,73996.2205,56511.5615,501009.2118,9463.4499
10,10,55,6,1000000,142017.3327,2727.7697,144745.1024,80019.5534,0,80019.5534,996858.466,1049324.4076,52465.9416,15.525215809263823,4.171650995284624,19.69686680454845,2035.0,2035.0,2035.0,20.0966,0,18.417,3.3401,11.2234,17.6488,267195.7972,73996.2205,75758.9348,570299.1911,8603.1363
11,11,60,6,1000000,178465.5129,11924.2687,190389.7815,80019.5534,0,80019.5534,996858.466,1049324.4076,52465.9416,15.949446168957065,4.181301848920974,20.130748017878037,2036.0,2036.0,2036.0,20.5343,0,18.8293,3.2664,11.3436,17.6061,272232.1858,73996.2205,95224.6555,639663.8763,7821.033
12,12,65,6,1000000,215683.4958,20643.2259,236326.7217,80019.5534,0,80019.5534,996858.466,1049324.4076,52465.9416,16.676402742903615,3.8412691172459126,20.517671860149527,2038.0,2037.0,2037.0,21.449,0,19.2504,3.2032,8.1151,19.4269,276708.8027,73996.2205,114850.6399,708992.4148,7110.03
13,13,70,6,1000000,252133.0184,30370.3844,282503.4028,80019.5534,0,80019.5534,996858.466,1049324.4076,52465.9416,16.676402742903615,4.186779583427487,20.863182326331103,2038.0,2038.0,2038.0,21.449,0,19.6725,3.1488,11.5284,17.5829,280659.5674,73996.2205,134590.9165,778213.7709,6463.6636
14,14,40,6,1050000,34909.4877,-26866.5431,8042.9445,82669.5534,0,82669.5534,996858.466,1049324.4076,52465.9416,12.580449239419396,4.657736755088523,17.23818599450792,2030.0,2031.0,2031.0,18.1264,0,16.958,3.9512,13.4073,15.9563,239372.3725,76522.8964,18130.3782,354664.4434,12595.8518
15,15,45,6,1050000,69959.6848,-17144.562,52815.1228,82669.5534,0,82669.5534,996858.466,1049324.4076,52465.9416,13.955177034163455,4.702101025488559,18.657278059652015,2032.0,2033.0,2033.0,18.8632,0,17.6335,3.6473,13.5076,15.8797,255141.4466,76522.8964,37026.7526,431916.0132,10409.7949
16,16,50,6,1050000,105985.6944,-8489.7855,97495.9089,82669.5534,0,82669.5534,996858.466,1049324.4076,52465.9416,15.055493633830446,4.154114039887161,19.20960767371761,2034.0,2034.0,2034.0,19.6715,0,18.017,3.5403,11.1163,18.31,261532.6832,76522.8964,55994.2735,501009.2118,9463.4499
17,17,55,6,1050000,142017.3327,712.2003,142729.5329,82669.5534,0,82669.5534,996858.466,1049324.4076,52465.9416,15.525215809263823,4.171650995284624,19.69686680454845,2035.0,2035.0,2035.0,20.0966,0,18.417,3.4507,11.2234,18.2332,267195.7972,76522.8964,75247.8284,570299.1911,8603.1363
18,18,60,6,1050000,178465.5129,9902.8501,188368.363,82669.5534,0,82669.5534,996858.466,1049324.4076,52465.9416,15.949446168957065,4.181301848920974,20.130748017878037,2036.0,2036.0,2036.0,20.5343,0,18.8293,3.3745,11.3436,18.1891,272232.1858,76522.8964,94719.3982,639663.8763,7821.033
19,19,65,6,1050000,215683.4958,18616.3612,234299.8571,82669.5534,0,82669.5534,996858.466,1049324.4076,52465.9416,16.676402742903615,3.8412691172459126,20.517671860149527,2038.0,2037.0,2037.0,21.449,0,19.2504,3.3093,8.1151,20.0703,276708.8027,76522.8964,114350.8287,708992.4148,7110.03
20,20,70,6,1050000,252133.0184,28338.4765,280471.4949,82669.5534,0,82669.5534,996858.466,1049324.4076,52465.9416,16.676402742903615,4.186779583427487,20.863182326331103,2038.0,2038.0,2038.0,21.449,0,19.6725,3.2531,11.5284,18.1651,280659.5674,76522.8964,134096.1485,778213.7709,6463.6636
21,21,40,6,1100000,34909.4877,-28880.3565,6029.1311,85319.5534,0,85319.5534,996858.466,1049324.4076,52465.9416,12.580449239419396,4.657736755088523,17.23818599450792,2030.0,2031.0,2031.0,18.1264,0,16.958,4.0778,13.4073,16.4678,239372.3725,79049.5722,17617.5158,354664.4434,12595.8518
22,22,45,6,1100000,69959.6848,-19147.5508,50812.134,85319.5534,0,85319.5534,996858.466,1049324.4076,52465.9416,13.955177034163455,4.702101025488559,18.657278059652015,2032.0,2033.0,2033.0,18.8632,0,17.6335,3.7642,13.5076,16.3887,255141.4466,79049.5722,36503.0655,431916.0132,10409.7949
23,23,50,6,1100000,105985.6944,-10499.1733,95486.5211,85319.5534,0,85319.5534,996858.466,1049324.4076,52465.9416,15.055493633830446,4.154114039887161,19.20960767371761,2034.0,2034.0,2034.0,19.6715,0,18.017,3.6538,11.1163,18.8969,261532.6832,79049.5722,55476.9854,501009.2118,9463.4499
