,ID,E_Brent,D_caso,D_tal,C_Gas,C_Perfo,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,LE_year_b,lc_b,dc_b,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
0,0,40,Medio,1,6,650000,-8894.459,51754.545,42860.086,1.0341102446237902,129800,850236.7315,904996.7461,0.2627027120490787,22.104040284827263,21.841337572778187,2036.0,8.4419,5.2784,112108.8074,85037.8609,36184.122,289941.0393,13750.163
1,1,45,Medio,1,6,650000,-7642.073,90440.2673,82798.1943,1.6859132258784317,129800,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,5.1907,114366.0844,85037.8609,52926.4216,347628.7093,12500.1481
2,2,50,Medio,1,6,650000,-6389.687,128322.1013,121932.4144,2.323167033481745,129800,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,5.1907,114366.0844,85037.8609,69235.3769,403071.8847,12500.1481
3,3,55,Medio,1,6,650000,-5137.3009,166131.4733,160994.1723,2.960420841085057,129800,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,5.1907,114366.0844,85037.8609,85616.7942,458515.06,12500.1481
4,4,60,Medio,1,6,650000,-3884.9149,203904.0732,200019.1584,3.597674648688371,129800,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,5.1907,114366.0844,85037.8609,102034.9835,513958.2353,12500.1481
5,5,65,Medio,1,6,650000,-2632.5288,241666.4203,239033.8914,4.2349284562916845,129800,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,5.1907,114366.0844,85037.8609,118463.4258,569401.4107,12500.1481
6,6,70,Medio,1,6,650000,-1380.1428,279860.6586,278480.5158,4.8866450995725135,129800,850236.7315,904996.7461,0.2627027120490787,22.644197797419718,22.381495085370638,2038.0,8.9869,5.1515,116224.9253,85037.8609,135689.8674,626796.9405,11363.771
7,7,40,Medio,1,6,700000,-8894.459,46834.3897,37939.9306,0.8957178571455647,139400,850236.7315,904996.7461,0.2627027120490787,22.104040284827263,21.841337572778187,2036.0,8.4419,5.6688,112108.8074,91245.8563,34896.2819,289941.0393,13750.163
8,8,45,Medio,1,6,700000,-7642.073,85517.8868,77875.8138,1.5031748626025954,139400,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,5.5746,114366.0844,91245.8563,51640.8067,347628.7093,12500.1481
9,9,50,Medio,1,6,700000,-6389.687,123399.7209,117010.0339,2.0970725599369504,139400,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,5.5746,114366.0844,91245.8563,67949.7619,403071.8847,12500.1481
10,10,55,Medio,1,6,700000,-5137.3009,161210.1631,156072.8622,2.6909702572713043,139400,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,5.5746,114366.0844,91245.8563,84330.109,458515.06,12500.1481
11,11,60,Medio,1,6,700000,-3884.9149,198982.7631,195097.8482,3.2848679546056596,139400,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,5.5746,114366.0844,91245.8563,100748.2983,513958.2353,12500.1481
12,12,65,Medio,1,6,700000,-2632.5288,236745.1101,234112.5813,3.8787656519400144,139400,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,5.5746,114366.0844,91245.8563,117176.7405,569401.4107,12500.1481
13,13,70,Medio,1,6,700000,-1380.1428,274940.855,273560.7122,4.486142193501455,139400,850236.7315,904996.7461,0.2627027120490787,22.644197797419718,22.381495085370638,2038.0,8.9869,5.5325,116224.9253,91245.8563,134401.6756,626796.9405,11363.771
14,14,40,Medio,1,6,750000,-8894.459,41914.2343,33019.7753,0.7749571716285689,149000,850236.7315,904996.7461,0.2627027120490787,22.104040284827263,21.841337572778187,2036.0,8.4419,6.0592,112108.8074,97453.8517,33608.4419,289941.0393,13750.163
15,15,45,Medio,1,6,750000,-7642.073,80595.5064,72953.4334,1.3437180426028972,149000,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,5.9585,114366.0844,97453.8517,50355.1918,347628.7093,12500.1481
16,16,50,Medio,1,6,750000,-6389.687,118477.3404,112087.6535,1.8997833584541766,149000,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,5.9585,114366.0844,97453.8517,66664.147,403071.8847,12500.1481
17,17,55,Medio,1,6,750000,-5137.3009,156288.853,151151.5521,2.455848674305455,149000,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,5.9585,114366.0844,97453.8517,83043.4237,458515.06,12500.1481
18,18,60,Medio,1,6,750000,-3884.9149,194061.453,190176.5381,3.0119139901567342,149000,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,5.9585,114366.0844,97453.8517,99461.613,513958.2353,12500.1481
19,19,65,Medio,1,6,750000,-2632.5288,231823.8,229191.2712,3.567979306008013,149000,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,5.9585,114366.0844,97453.8517,115890.0553,569401.4107,12500.1481
